Date and Time, Depth (Ft), Oxygen Conc. (mg/L)
2023-09-23T12:20:49-0700, -39 ft, 7.0031
2023-09-23T12:20:49-0700, -43 ft, 6.9996
2023-09-23T12:20:49-0700, -46 ft, 7.0018
2023-09-23T12:20:49-0700, -49 ft, 7.0054
2023-09-23T12:20:49-0700, -52 ft, 7.0009
2023-09-23T12:20:49-0700, -56 ft, 6.9974
2023-09-23T12:20:49-0700, -59 ft, 6.9993
2023-09-23T12:20:49-0700, -62 ft, 6.9967
2023-09-23T12:20:49-0700, -3 ft, 6.9995
2023-09-23T12:20:49-0700, -66 ft, 6.9922
2023-09-23T12:20:49-0700, -69 ft, 6.9936
2023-09-23T12:20:49-0700, -72 ft, 6.9985
2023-09-23T12:20:49-0700, -75 ft, 6.9945
2023-09-23T12:20:49-0700, -79 ft, 6.9908
2023-09-23T12:20:49-0700, -82 ft, 6.9884
2023-09-23T12:20:49-0700, -85 ft, 6.9842
2023-09-23T12:20:49-0700, -89 ft, 6.9797
2023-09-23T12:20:49-0700, -92 ft, 6.9664
2023-09-23T12:20:49-0700, -7 ft, 6.9994
2023-09-23T12:20:49-0700, -10 ft, 6.9994
2023-09-23T12:20:49-0700, -13 ft, 6.9993
2023-09-23T12:20:49-0700, -16 ft, 7.0002
2023-09-23T12:20:49-0700, -20 ft, 7.0016
2023-09-23T12:20:49-0700, -23 ft, 7.0012
2023-09-23T12:20:49-0700, -26 ft, 6.9998
2023-09-23T12:20:49-0700, -30 ft, 7.0001
2023-09-26T12:20:44-0700, -33 ft, 7.0186
2023-09-26T12:20:44-0700, -36 ft, 6.9791
2023-09-26T12:20:44-0700, -39 ft, 6.9527
2023-09-26T12:20:44-0700, -43 ft, 6.9362
2023-09-26T12:20:44-0700, -46 ft, 6.9228
