Date and Time, Depth (Ft), Oxygen Conc. (mg/L)
2023-09-09T12:20:09-0700, -75 ft, 3.4061
2023-09-09T12:20:09-0700, -79 ft, 3.3574
2023-09-09T12:20:09-0700, -82 ft, 3.2914
2023-09-09T12:20:09-0700, -85 ft, 3.1973
2023-09-09T12:20:09-0700, -89 ft, 3.0537
2023-09-09T12:20:09-0700, -92 ft, 2.9247
2023-09-09T12:20:09-0700, -7 ft, 4.8231
2023-09-09T12:20:09-0700, -10 ft, 4.8537
2023-09-09T12:20:09-0700, -13 ft, 4.8842
2023-09-09T12:20:09-0700, -16 ft, 4.868
2023-09-09T12:20:09-0700, -20 ft, 4.7796
2023-09-09T12:20:09-0700, -23 ft, 4.6634
2023-09-09T12:20:09-0700, -26 ft, 4.5635
2023-09-09T12:20:09-0700, -30 ft, 4.4754
2023-09-10T00:20:55-0700, -33 ft, 4.4559
2023-09-10T00:20:55-0700, -36 ft, 4.358
2023-09-10T00:20:55-0700, -39 ft, 4.2794
2023-09-10T00:20:55-0700, -43 ft, 4.2087
2023-09-10T00:20:55-0700, -46 ft, 4.1509
2023-09-10T00:20:55-0700, -49 ft, 4.0468
2023-09-10T00:20:55-0700, -52 ft, 3.8907
2023-09-10T00:20:55-0700, -56 ft, 3.7644
2023-09-10T00:20:55-0700, -59 ft, 3.6759
2023-09-10T00:20:55-0700, -62 ft, 3.597
2023-09-10T00:20:55-0700, -3 ft, 5.9255
2023-09-10T00:20:55-0700, -66 ft, 3.5044
2023-09-10T00:20:55-0700, -7 ft, 5.9099
2023-09-10T00:20:55-0700, -10 ft, 5.8944
2023-09-10T00:20:55-0700, -13 ft, 5.776
2023-09-10T00:20:55-0700, -16 ft, 5.5065
2023-09-10T00:20:55-0700, -20 ft, 5.1913
2023-09-10T00:20:55-0700, -23 ft, 4.9341
2023-09-10T00:20:55-0700, -26 ft, 4.7444
2023-09-10T00:20:55-0700, -30 ft, 4.5871
2023-09-10T12:20:09-0700, -33 ft, 4.3117
2023-09-10T12:20:09-0700, -36 ft, 4.2611
2023-09-10T12:20:09-0700, -39 ft, 4.1819
2023-09-10T12:20:09-0700, -43 ft, 4.0643
2023-09-10T12:20:09-0700, -46 ft, 3.9329
2023-09-10T12:20:09-0700, -49 ft, 3.817
2023-09-10T12:20:09-0700, -52 ft, 3.728
2023-09-10T12:20:09-0700, -56 ft, 3.6492
2023-09-10T12:20:09-0700, -59 ft, 3.5767
2023-09-10T12:20:09-0700, -62 ft, 3.5104
2023-09-10T12:20:09-0700, -3 ft, 4.6765
2023-09-10T12:20:09-0700, -66 ft, 3.4592
2023-09-10T12:20:09-0700, -7 ft, 4.7265
2023-09-10T12:20:09-0700, -10 ft, 4.7765
2023-09-10T12:20:09-0700, -13 ft, 4.773
2023-09-10T12:20:09-0700, -16 ft, 4.709
2023-09-10T12:20:09-0700, -20 ft, 4.619
2023-09-10T12:20:09-0700, -23 ft, 4.5325
2023-09-10T12:20:09-0700, -26 ft, 4.4596
2023-09-10T12:20:09-0700, -30 ft, 4.3803
2023-09-11T00:20:54-0700, -33 ft, 4.0311
2023-09-11T00:20:54-0700, -36 ft, 3.9249
2023-09-11T00:20:54-0700, -39 ft, 3.8386
2023-09-11T00:20:54-0700, -43 ft, 3.7452
2023-09-11T00:20:54-0700, -46 ft, 3.6598
2023-09-11T00:20:54-0700, -49 ft, 3.598
2023-09-11T00:20:54-0700, -52 ft, 3.5399
2023-09-11T00:20:54-0700, -56 ft, 3.4693
2023-09-11T00:20:54-0700, -59 ft, 3.4164
2023-09-11T00:20:54-0700, -62 ft, 3.3875
2023-09-11T00:20:54-0700, -3 ft, 4.9271
2023-09-11T00:20:54-0700, -66 ft, 3.3592
2023-09-11T00:20:54-0700, -7 ft, 4.8782
2023-09-11T00:20:54-0700, -10 ft, 4.8292
2023-09-11T00:20:54-0700, -13 ft, 4.7884
2023-09-11T00:20:54-0700, -16 ft, 4.7343
2023-09-11T00:20:54-0700, -20 ft, 4.6264
2023-09-11T00:20:54-0700, -23 ft, 4.4811
2023-09-11T00:20:54-0700, -26 ft, 4.3189
2023-09-11T00:20:54-0700, -30 ft, 4.163
2023-09-11T12:20:42-0700, -33 ft, 3.9926
2023-09-11T12:20:42-0700, -36 ft, 3.8796
2023-09-11T12:20:42-0700, -39 ft, 3.7841
2023-09-11T12:20:42-0700, -43 ft, 3.7101
2023-09-11T12:20:42-0700, -46 ft, 3.6701
2023-09-11T12:20:42-0700, -49 ft, 3.6532
2023-09-11T12:20:42-0700, -52 ft, 3.6401
2023-09-11T12:20:42-0700, -56 ft, 3.6006
2023-09-11T12:20:42-0700, -59 ft, 3.5338
2023-09-11T12:20:42-0700, -62 ft, 3.4624
2023-09-11T12:20:42-0700, -3 ft, 4.4405
2023-09-11T12:20:42-0700, -66 ft, 3.4023
2023-09-11T12:20:42-0700, -7 ft, 4.6262
