Date and Time, Depth (Ft), Oxygen Conc. (mg/L)
2023-09-12T12:17:11-0700, -89 ft, 5.4554
2023-09-12T12:17:11-0700, -92 ft, 5.3382
2023-09-12T12:17:11-0700, -7 ft, 8.827
2023-09-12T12:17:11-0700, -10 ft, 8.8945
2023-09-12T12:17:11-0700, -13 ft, 9.1255
2023-09-12T12:17:11-0700, -16 ft, 9.3498
2023-09-12T12:17:11-0700, -20 ft, 9.6199
2023-09-12T12:17:11-0700, -23 ft, 9.8994
2023-09-12T12:17:11-0700, -26 ft, 10.0243
2023-09-12T12:17:11-0700, -30 ft, 10.1286
2023-09-13T12:16:51-0700, -33 ft, 8.5045
2023-09-13T12:16:51-0700, -36 ft, 8.263
2023-09-13T12:16:51-0700, -39 ft, 8.4661
2023-09-13T12:16:51-0700, -43 ft, 8.0536
2023-09-13T12:16:51-0700, -46 ft, 7.7561
2023-09-13T12:16:51-0700, -49 ft, 7.4095
2023-09-13T12:16:51-0700, -52 ft, 7.0058
2023-09-13T12:16:51-0700, -56 ft, 6.7175
2023-09-13T12:16:51-0700, -59 ft, 6.4538
2023-09-13T12:16:51-0700, -62 ft, 6.3062
2023-09-13T12:16:51-0700, -3 ft, 9.6687
2023-09-13T12:16:51-0700, -66 ft, 6.19
2023-09-13T12:16:51-0700, -69 ft, 6.0339
2023-09-13T12:16:51-0700, -72 ft, 5.8778
2023-09-13T12:16:51-0700, -75 ft, 5.7002
2023-09-13T12:16:51-0700, -79 ft, 5.5426
2023-09-13T12:16:51-0700, -82 ft, 5.4398
2023-09-13T12:16:51-0700, -85 ft, 5.3608
2023-09-13T12:16:51-0700, -89 ft, 5.2401
2023-09-13T12:16:51-0700, -92 ft, 5.0694
2023-09-13T12:16:51-0700, -7 ft, 9.6779
2023-09-13T12:16:51-0700, -10 ft, 9.6877
2023-09-13T12:16:51-0700, -13 ft, 9.8508
2023-09-13T12:16:51-0700, -16 ft, 10.1822
2023-09-13T12:16:51-0700, -20 ft, 10.4409
2023-09-13T12:16:51-0700, -23 ft, 10.3845
2023-09-13T12:16:51-0700, -26 ft, 10.1137
2023-09-13T12:16:51-0700, -30 ft, 9.2575
2023-09-14T12:16:48-0700, -33 ft, 10.0105
